,season,episode,character,line
0,14,3,Group,"Twenty-one, twenty-two, twenty-three, twenty-four, twenty-five, twenty-six, twenty-seven, twenty-eight, twenty-nine, thirty, thirty-one, thirty-two, thirty-three, thirty-four, thirty-five, thirty-six, thirty-seven, thirty-eight, thirty-nine, forty."
1,14,3,Eric Cartman,"[after ""27""] Oh I wish I could exercise with the rest of the team, coach, but I've got such a belly ache."
2,14,3,Coach,You seem to have a stomach ache every time we do drills and exercises.
3,14,3,Eric Cartman,"[faking] I know, it sucks. [the coach blows his whistle as the boys reach ""40""]"
4,14,3,Coach,"Alright kids, practice is over for today."
5,14,3,Eric Cartman,[grins and throws his sports bottle away] KFC!! [races for his ride]
6,14,3,Eric Cartman,Oh boy oh boy! I'm gonna get a three piece meal and crispy strips!
7,14,3,Kyle Broflovski,"Cartman, you only come to soccer practice on Fridays, and that's only because we have Kentucky Fried Chicken afterwards!"
8,14,3,Eric Cartman,"Shut up you shifty Jew! I'll fuckin' kill you! [remembers where he is] Uh sorry, sorry. I just, you know, when I've been waiting too long for the Colonel's chicken I get easily agitated. You're a fuckin' asshole Kenny! Oh oh oh, sorry sorry. Oh here we are! Here we are!"
9,14,3,Stan Marsh,Hey it looks different.
10,14,3,Randy Marsh,"[to the customer] Hey uh, what's up with the KFC?"
11,14,3,Customer,"[stops] Oh, it's not a KFC anymore. It's a medicinal marijuana dispensary. [walks away]"
12,14,3,Stan Marsh,A what?
13,14,3,Eric Cartman,"Dude, what the fuck? What the fuck?!"
14,14,3,Kyle Broflovski,So where's the KFC now?
15,14,3,Randy Marsh,"Alright boys, wait out here. Let me see what's going on. [leaves them and enters the store.]"
16,14,3,Clerk,Can I help you sir?
17,14,3,Randy Marsh,"Yeah, we were actually looking to get some KFC?"
18,14,3,Clerk,"Oh yeah sorry, that's gone. We only sell marijuana here."
19,14,3,Randy Marsh,"Really? I mean, you're openly selling pot? For reals?"
20,14,3,Clerk,Sure. New state laws say it's okay.
21,14,3,Randy Marsh,"[thinks about what this means] Woohoo, all right! I love the future! Let's see uh, I'll take half a pound of that uhhh Jamaican Passion [goes to another counter] and give me some of that purplish stuff too!"
22,14,3,Clerk,Alright. I'll just need to see your physician's reference.
23,14,3,Randy Marsh,[his smile vanishes] My huh?
24,14,3,Clerk,"Well, sir we, just can't, sell the marijuana to anybody. You need a reference from your doctor to show it's necessary."
25,14,3,Randy Marsh,"Ohhh, that's dumb. Okay. Okay, I'll be I'll be right back! [races out the door]"
26,14,3,Stan Marsh,What'd they say?
27,14,3,Randy Marsh,"[speaking quickly] KFC's gone, been replaced."
28,14,3,Eric Cartman,They can't do that! This is the only KFC in all of South Park!
29,14,3,Randy Marsh,"Yeah well I gotta get to the doctor. [runs to the car, opens the driver-side door, and quickly gets in]"
30,14,3,Stan Marsh,"The doctor? But Dad, we wanna eat."
31,14,3,Randy Marsh,"I gotta get to the doctor! [pulls out of his parking slot and drives away in a hurry, leaving the boys by themselves]"
32,14,3,Kyle Broflovski,...so no KFC?
33,14,3,Eric Cartman,This is a nightmare. This is a nightmare and I CAN'T WAKE UP!
34,14,3,Dr Doctor,"Well Mr. Marsh, it looks like you are in prefect health. Your bloodwork came back great and all your vitals appear normal."
35,14,3,Randy Marsh,All right!
36,14,3,Dr Doctor,"Yep, you check out fine."
37,14,3,Randy Marsh,That's great. So can I get a referral from you?
38,14,3,Dr Doctor,For what?
39,14,3,Randy Marsh,"Medicinal marijuana. [the doctor frowns] There's a shop that opened in the old KFC, and they said I needed a doctor's referral to buy weed."
40,14,3,Dr Doctor,"Mr. Marsh, you don't qualify for medicinal marijuana."
41,14,3,Randy Marsh,But you said I'm totally healthy!
42,14,3,Dr Doctor,"Medicinal marijuana is for people who aren't healthy. AIDS patients, cancer patients. You know, people going through chemo. The THC helps them eat and take the pain. You are in fine shape!"
43,14,3,Randy Marsh,"...Well that sucks! [gets off the bed and puts his clothes back on.] Well so doctor, how do most people get cancer?"
44,14,3,Dr Doctor,Well there's a lot of ways you can get cancer.
45,14,3,Randy Marsh,"Yeah, but what's the quickest way?"
46,14,3,Dr Doctor,The what?
47,14,3,Randy Marsh,"Well like, what forms of cancer induce in time for the Ziggy Marley concert next Saturday in Denver?"
48,14,3,Eric Cartman,"Mom, drive faster!"
49,14,3,Liane Cartman,"The KFC in Salida is a long way away, sweetie. Be patient."
50,14,3,Eric Cartman,Shut up and drive faster! I've been waiting for chicken for TOO LONG!
51,14,3,Liane Cartman,"Eric, we're almost to Frisco. Why don't we go to the Church's Fried Chicken there?"
52,14,3,Eric Cartman,WHAT?? Church's Fried Chicken tastes like cat shit!
53,14,3,Liane Cartman,"Alright honey, let's take it easy."
54,14,3,Eric Cartman,Fuck you!
